unit,facility,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
100000HAB,HBED_PSY,AT	74.6046 	72.3301 	72.8536 	71.7362 	73.3361 	74.4425 	76.8808 	80.9441 	77.8105 	77.4272 	78.3096 	77.9355 
100000HAB,HBED_PSY,BE	259.1587 	252.2124 	248.4519 	247.5489 	247.9576 	250.0425 	182.5851 b	180.1105 	179.6083 	178.5209 	176.7081 	174.8502 
100000HAB,HBED_PSY,BG	63.9277 	69.9601 	65.4384 	64.1908 	64.5276 	67.7657 b	66.8916 	67.0778 	67.1617 	68.2783 	65.4651 	62.7898 
100000HAB,HBED_PSY,CH	119.5393 d	112.7547 d	110.2165 d	107.3852 d	106.5007 d	105.7803 d	100.9897 d	101.8922 d	100.3573 d	98.2976 d	96.5129 d	92.4625 d
100000HAB,HBED_PSY,CY	50.5747 	37.9164 	37.4470 	32.0995 	30.9555 	30.6152 	26.6650 	26.2763 	25.9749 	25.4948 	22.7863 	21.3896 
100000HAB,HBED_PSY,CZ	113.0124 b	114.2286 	113.5832 	112.6050 	112.0985 	110.3672 	108.8894 	106.8882 	104.9084 	103.4597 	101.8599 	100.8185 
100000HAB,HBED_PSY,DE	107.4606 	107.4609 	105.7275 	106.5801 	106.7862 	107.0506 	108.4679 	110.0985 	112.6987 	114.7489 	117.9135 	120.6868 
100000HAB,HBED_PSY,DK	75.7358 	75.2223 	73.7547 	71.2911 	67.4805 	65.3390 	62.9360 	61.3575 	58.4678 	57.7756 	57.0328 	: 
100000HAB,HBED_PSY,EE	79.0791 	68.3967 	64.9177 	56.5178 	50.4710 	53.7108 	55.3014 	55.3041 	55.4944 	53.7951 	53.1280 	53.5103 
100000HAB,HBED_PSY,EL	97.3301 	93.3154 	92.4502 	87.9302 	89.5161 	86.6988 	87.3305 	86.1628 	82.1832 	79.5461 	: 	: 
100000HAB,HBED_PSY,ES	51.8861 	50.7165 	50.3389 	48.5686 	47.5924 	45.7738 	45.8514 	41.3646 	41.1057 	40.9422 	39.8668 	37.6051 
100000HAB,HBED_PSY,EU28	: 	: 	: 	: 	79.4900 	78.4040 	76.2142 	74.8098 	: 	: 	: 	: 
100000HAB,HBED_PSY,FI	102.9904 b	100.9636 	101.0461 	98.1006 	96.6495 	93.3456 	92.2475 	88.3957 	85.0491 	80.4477 	75.2515 	71.0246 
100000HAB,HBED_PSY,FR	103.3834 	101.1851 	98.2804 	95.9919 	94.3940 	92.9902 	91.4351 	90.3078 	89.3786 	88.5690 	88.3090 	88.8994 
100000HAB,HBED_PSY,FX	110.4527 	105.5245 	104.1993 	100.8132 	96.1384 	94.4992 	93.0444 	91.6791 	89.6753 	: 	: 	: 
100000HAB,HBED_PSY,HR	102.1641 	102.6400 	100.4574 	95.4924 	94.1970 	94.4324 	93.0424 	96.3094 	94.9562 	94.6190 	97.0368 	104.6504 
100000HAB,HBED_PSY,HU	98.5704 	42.3163 b	40.8225 	40.0413 	39.1802 	39.3375 	38.2867 	33.5230 b	31.8583 	32.7758 	32.9499 	33.1136 
100000HAB,HBED_PSY,IE	141.0974 	127.9537 	115.8205 	108.4443 	101.2466 	95.5549 	91.4716 	85.4042 	79.3324 	77.3502 	71.8323 	65.0086 
100000HAB,HBED_PSY,IS	: 	: 	: 	: 	: 	: 	: 	59.3776 b	61.1190 	59.6548 	48.1070 	47.6469 
